"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 23:37:04 UTC 2022","Mon May 30 23:37:43 UTC 2022","38394","","Acessar Admin Panel","","Acessar Admin Panel","Deve realizar o login com sucesso","Deve realizar o login com sucesso",""
"passed","Mon May 30 23:38:22 UTC 2022","Mon May 30 23:39:29 UTC 2022","66551","","Cadastrar produtos","","Cadastrar produtos","Deve realizar o cadastro de produtos","Deve realizar o cadastro de produtos",""
